Model,Accuracy,F1-Score,ROC-AUC
Logistic Regression,0.8439213588337569,0.847245104646108,0.9268750504642712
Random Forest,0.8515447371940618,0.8547024156595211,0.9388168348809043
XGBoost,0.8003209843520128,0.8061603899775363,0.9478541380702463
